Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/09  12:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,52.51444275,52.51444275,,
 01/09  13:00:00,56.30513463,4.362540434,0,0,43.84979677,8.092797425,48.80457313,48.80457313,,
 01/09  14:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,44.15125919,44.15125919,,
 01/09  15:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,42.75001608,42.75001608,,
 01/09  16:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,42.31104221,42.31104221,,
 01/09  17:00:00,68.74662557,4.362540434,0,0,49.33102137,9.104397103,46.72320609,46.72320609,,
 01/09  18:00:00,30.62749583,1.214423331,0,0,16.44367379,4.046398712,40.73991229,40.73991229,,
 01/09  19:00:00,16.59154638,1.175722109,0,0,5.481224596,1.011599678,38.66066088,38.66066088,,
 01/09  20:00:00,16.89563336,1.47980909,0,0,5.481224596,1.011599678,48.94373182,48.94373182,,
 01/09  21:00:00,16.56706345,1.151239177,0,0,5.481224596,1.011599678,37.49693505,37.49693505,,
 01/09  22:00:00,16.88690956,1.47108529,0,0,5.481224596,1.011599678,48.46647755,48.46647755,,
 01/09  23:00:00,16.53617137,1.120347093,0,0,5.481224596,1.011599678,36.33454363,36.33454363,,
 01/09  24:00:00,16.83860837,1.422784093,0,0,5.481224596,1.011599678,46.76308824,46.76308824,,
 01/10  01:00:00,16.52902025,1.113195976,0,0,5.481224596,1.011599678,35.99413102,35.99413102,,
 01/10  02:00:00,16.8554514,1.439627126,0,0,5.481224596,1.011599678,47.22645667,47.22645667,,
 01/10  03:00:00,16.57007602,1.154251741,0,0,5.481224596,1.011599678,37.25700573,37.25700573,,
 01/10  04:00:00,16.91271193,1.496887656,0,0,5.481224596,1.011599678,49.08355566,49.08355566,,
 01/10  05:00:00,16.62325934,1.207435066,0,0,5.481224596,1.011599678,38.93972768,38.93972768,,
 01/10  06:00:00,16.98288692,1.567062645,0,0,5.481224596,1.011599678,51.38287325,51.38287325,,
 01/10  07:00:00,19.77836471,4.362540434,0,0,5.481224596,1.011599678,71.51483692,71.51483692,,
 01/10  08:00:00,40.26843721,4.362540434,0,0,21.92489839,5.05799839,62.85805796,62.85805796,,
 01/10  09:00:00,50.82391003,4.362540434,0,0,38.36857217,8.092797425,55.35915434,55.35915434,,
 01/10  10:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,43.54763162,43.54763162,,
 01/10  11:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,32.02162862,32.02162862,,
 01/10  12:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,23.10892889,23.10892889,,
 01/10  13:00:00,56.30513463,4.362540434,0,0,43.84979677,8.092797425,17.82652822,17.82652822,,
 01/10  14:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,13.64284046,13.64284046,,
 01/10  15:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,13.63009756,13.63009756,,
 01/10  16:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,16.72187651,16.72187651,,
 01/10  17:00:00,68.74662557,4.362540434,0,0,49.33102137,9.104397103,26.19173446,26.19173446,,
